x_m,y_m
0.0000,0.0000
-2.0689,-2.1661
-4.1378,-4.3322
-6.2074,-6.4971
-8.2778,-8.6621
-10.3488,-10.8259
-12.4213,-12.9887
-14.4944,-15.1514
-16.5683,-17.3131
-18.6415,-19.4747
-20.7147,-21.6374
-22.7871,-23.7991
-24.8589,-25.9629
-26.9313,-28.1256
-29.0031,-30.2895
-31.0748,-32.4522
-33.1459,-34.6161
-35.2176,-36.7799
-37.2887,-38.9438
-39.3597,-41.1088
-41.4308,-43.2726
-43.5011,-45.4365
-45.5721,-47.6014
-47.6432,-49.7653
-49.7142,-51.9291
-51.7845,-54.0941
-53.8556,-56.2580
-55.9273,-58.4218
-57.9984,-60.5857
-60.0694,-62.7495
-62.1412,-64.9134
-64.2129,-67.0772
-66.2847,-69.2400
-68.3564,-71.4038
-70.4289,-73.5666
-72.5021,-75.7293
-74.5752,-77.8909
-76.6491,-80.0515
-78.7237,-82.2131
-80.7990,-84.3725
-82.8757,-86.5319
-84.9524,-88.6902
-87.0306,-90.8474
-89.1101,-93.0034
-91.1904,-95.1584
-93.2714,-97.3122
-95.3545,-99.4650
-97.4390,-101.6166
-99.5242,-103.7671
-101.6116,-105.9154
-103.7004,-108.0615
-105.7913,-110.2064
-107.8829,-112.3502
-109.9760,-114.4930
-112.0697,-116.6357
-114.1642,-118.7773
-116.2594,-120.9178
-118.3545,-123.0583
-120.4511,-125.1977
-122.5477,-127.3371
-124.6450,-129.4754
-126.7423,-131.6137
-128.8403,-133.7519
-130.9383,-135.8891
-133.0371,-138.0274
-135.1351,-140.1645
-137.2338,-142.3017
-139.3325,-144.4389
-141.4312,-146.5760
-143.5300,-148.7132
-145.6287,-150.8504
-147.7267,-152.9875
-149.8254,-155.1258
-151.9227,-157.2641
-154.0207,-159.4024
-156.1180,-161.5407
-158.2146,-163.6800
-160.3112,-165.8194
-162.4071,-167.9588
-164.5030,-170.0982
-166.5989,-172.2387
-168.6947,-174.3792
-170.7899,-176.5197
-172.8858,-178.6602
-174.9810,-180.7996
-177.0769,-182.9401
-179.1727,-185.0806
-181.2686,-187.2200
-183.3645,-189.3594
-185.4611,-191.4988
-187.5577,-193.6382
-189.6550,-195.7765
-191.7530,-197.9147
-193.8510,-200.0530
-195.9497,-202.1902
-198.0484,-204.3262
-200.1486,-206.4623
-202.2494,-208.5983
-204.3503,-210.7333
-206.4511,-212.8682
-208.5513,-215.0032
-210.6514,-217.1392
-212.7509,-219.2753
-214.8503,-221.4124
-216.9497,-223.5485
-219.0499,-225.6846
-221.1493,-227.8206
-223.2494,-229.9567
-225.3503,-232.0916
-227.4511,-234.2266
-229.5534,-236.3604
-231.6564,-238.4942
-233.7601,-240.6258
-235.8645,-242.7574
-237.9710,-244.8868
-240.0782,-247.0162
-242.1869,-249.1434
-244.2970,-251.2683
-246.4092,-253.3921
-248.5228,-255.5148
-250.6386,-257.6353
-252.7564,-259.7525
-254.8765,-261.8685
-256.9979,-263.9834
