idx,dist_m,x_m,y_m,elev_m,lat_deg,lon_deg,edge1_lat_deg,edge1_lon_deg,edge2_lat_deg,edge2_lon_deg
0,3.0000,-2.0756,-2.1671,620.143,50.33550870,6.94764277,50.33552772,6.94761170,50.33559299,6.94750513
1,6.0000,-4.1511,-4.3342,620.130,50.33548941,6.94761330,50.33550824,6.94758255,50.33557379,6.94747554
2,9.0000,-6.2274,-6.5002,620.116,50.33547012,6.94758382,50.33548876,6.94755340,50.33555458,6.94744599
3,12.0000,-8.3044,-8.6662,620.101,50.33545083,6.94755434,50.33546929,6.94752424,50.33553536,6.94741648
4,15.0000,-10.3821,-10.8311,620.085,50.33543153,6.94752488,50.33544982,6.94749507,50.33551614,6.94738699
5,18.0000,-12.4612,-12.9949,620.067,50.33541222,6.94749542,50.33543036,6.94746589,50.33549691,6.94735752
6,21.0000,-14.5410,-15.1587,620.050,50.33539291,6.94746596,50.33541091,6.94743669,50.33547768,6.94732808
7,24.0000,-16.6216,-17.3213,620.031,50.33537361,6.94743650,50.33539146,6.94740748,50.33545845,6.94729863
8,27.0000,-18.7014,-19.4840,620.012,50.33535431,6.94740705,50.33537202,6.94737826,50.33543917,6.94726911
9,30.0000,-20.7812,-21.6478,619.992,50.33533503,6.94737759,50.33535258,6.94734905,50.33541990,6.94723958
10,33.0000,-22.8604,-23.8105,619.973,50.33531575,6.94734812,50.33533313,6.94731984,50.33540064,6.94721003
11,36.0000,-24.9388,-25.9754,619.953,50.33529648,6.94731863,50.33531369,6.94729064,50.33538138,6.94718049
12,39.0000,-27.0179,-28.1392,619.933,50.33527723,6.94728913,50.33529423,6.94726145,50.33536213,6.94715095
13,42.0000,-29.0963,-30.3041,619.913,50.33525799,6.94725959,50.33527478,6.94723225,50.33534287,6.94712140
14,45.0000,-31.1748,-32.4678,619.893,50.33523876,6.94723003,50.33525532,6.94720306,50.33532362,6.94709187
15,48.0000,-33.2525,-34.6327,619.873,50.33521956,6.94720043,50.33523587,6.94717387,50.33530436,6.94706233
16,51.0000,-35.3309,-36.7976,619.854,50.33520036,6.94717082,50.33521641,6.94714469,50.33528510,6.94703280
17,54.0000,-37.4086,-38.9625,619.835,50.33518118,6.94714118,50.33519695,6.94711550,50.33526585,6.94700326
18,57.0000,-39.4863,-41.1285,619.817,50.33516202,6.94711152,50.33517749,6.94708632,50.33524659,6.94697373
19,60.0000,-41.5641,-43.2934,619.799,50.33514286,6.94708185,50.33515802,6.94705714,50.33522734,6.94694421
20,63.0000,-43.6411,-45.4583,619.782,50.33512371,6.94705217,50.33513856,6.94702796,50.33520808,6.94691469
21,66.0000,-45.7188,-47.6243,619.766,50.33510456,6.94702247,50.33511910,6.94699879,50.33518883,6.94688516
22,69.0000,-47.7965,-49.7891,619.751,50.33508542,6.94699276,50.33509963,6.94696961,50.33516958,6.94685563
23,72.0000,-49.8742,-51.9540,619.737,50.33506629,6.94696305,50.33508017,6.94694043,50.33515033,6.94682611
24,75.0000,-51.9513,-54.1200,619.720,50.33504715,6.94693334,50.33506071,6.94691125,50.33513108,6.94679658
25,78.0000,-54.0290,-56.2849,619.699,50.33502802,6.94690362,50.33504124,6.94688208,50.33511184,6.94676705
26,81.0000,-56.1074,-58.4498,619.678,50.33500887,6.94687393,50.33502178,6.94685290,50.33509259,6.94673754
27,84.0000,-58.1852,-60.6147,619.658,50.33498971,6.94684425,50.33500232,6.94682371,50.33507334,6.94670802
28,87.0000,-60.2629,-62.7796,619.637,50.33497054,6.94681458,50.33498286,6.94679453,50.33505408,6.94667852
29,90.0000,-62.3414,-64.9445,619.614,50.33495137,6.94678494,50.33496340,6.94676535,50.33503483,6.94664902
30,93.0000,-64.4198,-67.1093,619.591,50.33493218,6.94675531,50.33494394,6.94673616,50.33501557,6.94661952
31,96.0000,-66.4983,-69.2731,619.567,50.33491298,6.94672569,50.33492448,6.94670697,50.33499632,6.94659000
32,99.0000,-68.5767,-71.4380,619.543,50.33489378,6.94669609,50.33490503,6.94667778,50.33497709,6.94656047
33,102.0000,-70.6559,-73.6018,619.520,50.33487457,6.94666650,50.33488557,6.94664859,50.33495787,6.94653092
34,105.0000,-72.7358,-75.7656,619.497,50.33485535,6.94663691,50.33486612,6.94661939,50.33493866,6.94650137
35,108.0000,-74.8156,-77.9282,619.477,50.33483613,6.94660733,50.33484667,6.94659018,50.33491947,6.94647181
36,111.0000,-76.8962,-80.0898,619.458,50.33481691,6.94657775,50.33482723,6.94656097,50.33490028,6.94644225
37,114.0000,-78.9776,-82.2524,619.441,50.33479768,6.94654818,50.33480780,6.94653175,50.33488110,6.94641268
38,117.0000,-81.0596,-84.4128,619.425,50.33477845,6.94651861,50.33478836,6.94650252,50.33486193,6.94638310
39,120.0000,-83.1430,-86.5732,619.409,50.33475921,6.94648905,50.33476894,6.94647328,50.33484277,6.94635352
40,123.0000,-85.2265,-88.7325,619.392,50.33473998,6.94645950,50.33474952,6.94644402,50.33482361,6.94632394
41,126.0000,-87.3114,-90.8907,619.375,50.33472073,6.94642994,50.33473011,6.94641476,50.33480447,6.94629435
42,129.0000,-89.3977,-93.0478,619.358,50.33470149,6.94640040,50.33471071,6.94638548,50.33478534,6.94626475
43,132.0000,-91.4847,-95.2038,619.340,50.33468224,6.94637086,50.33469132,6.94635618,50.33476621,6.94623515
44,135.0000,-93.5724,-97.3586,619.321,50.33466299,6.94634132,50.33467194,6.94632687,50.33474709,6.94620555
45,138.0000,-95.6623,-99.5124,619.303,50.33464373,6.94631179,50.33465257,6.94629755,50.33472797,6.94617596
46,141.0000,-97.7536,-101.6650,619.283,50.33462447,6.94628227,50.33463321,6.94626820,50.33470885,6.94614638
47,144.0000,-99.8456,-103.8165,619.263,50.33460521,6.94625274,50.33461386,6.94623883,50.33468973,6.94611681
48,147.0000,-101.9397,-105.9658,619.243,50.33458595,6.94622322,50.33459452,6.94620945,50.33467061,6.94608725
49,150.0000,-104.0353,-108.1129,619.222,50.33456668,6.94619371,50.33457520,6.94618004,50.33465148,6.94605772
50,153.0000,-106.1330,-110.2588,619.200,50.33454741,6.94616419,50.33455590,6.94615061,50.33463234,6.94602822
